Nazwa produktu	wartośćenergetyczna	białko	tłuszcz	węglowodany	sód	potas	wapń	Żelazo	Witamina C	Witamina A	błonnik
	kcal	g	g	g	mg	mg	mg	mg	mg	mcg	g
"Paprykarz ""Szczeciński"""	178	9.9	11.9	8.6	595	327	15	0.7	4.8	347	0.7
Pasztet z ryb wędzonych	151	12.9	10.6	1.2	669	209	43	1.1	0.8	90	0.1
Pasztet rybny homogenizowany	265	10.6	21.3	8.8	658	226	28	0.9	2.9	243	0.6
Sałatka z dorsza	187	9.8	13.9	7.2	684	370	19	0.7	23.3	696	1.3
Sałatka pikantna z makreli	181	10.2	13.2	6.9	621	425	25	0.9	8.3	576	1.3
Sardynka w oleju	221	24.1	13.9	0	366	388	330	2.7	0	0	0
Sardynka w pomidorach	162	17	9.9	1.4	350	410	250	2.9	0.8	340	0.1
Śledź marynowany	192	16.5	12.6	3.4	1090	74	18	0.7	0	0	0
Śledź w oleju	301	16.4	26.5	0	562	241	33	0.9	0	0	0
Śledź w sosie pomidorowym	159	13.8	9.7	4.6	548	288	32	0.9	3.4	249	0.3
Tuńczyk w oleju	190	27.1	9	0	515	248	12	1.2	0	0	0
Tuńczyk w wodzie	96	21	1.2	0	515	182	13	1.4	0	0	0
Śledź w śmietanie	96	5.5	6.2	5.3	37	145	46	0.5	4	108	0.6
Śledzie zawijane (rolmopsy)	104	8	7	3	231	161	25	0.6	1.1	599	0.6
Olej krokoszowy	884	0	100	0	0	0	0	0	0	0	0
Olej kukurydziany	884	0	100	0	1	1	15	0.1	0	0	0
Olej palmowy	884	0	100	0	0	0	0	0	0	0	0
Olej rzepakowy o obniżonej zawartości kwasu erukowego	884	0	100	0	0	0	0	0	0	0	0
Olej rzepakowy uniwersalny	884	0	100	0	0	0	0	0	0	0	0
Olej rzepakowy tłoczony na zimno	884	0	100	0	0	0	0	0	0	0	0
Olej rzepakowo-sojowy	884	0	100	0	0	0	0	0	0	0	0
Olej sezamowy	884	0	100	0	2	20	10	0.1	0	0	0
Olej słonecznikowy	884	0	100	0	0	0	0	0.1	0	0	0
Olej sojowy	884	0	100	0	0	0	0	0	0	0	0
Olej z zarodków pszennych	884	0	100	0	0	0	0	0	0	0	0
Oliwa z oliwek	882	0	99.6	0.2	1	0	0	0.4	0	0	0
