baton daim new maślano migdałowy oblany czekoladą	baton new maślano migdałowy oblany czekoladą	hero	daim	100 g	słodycze i przekąski	wafle, batony	530	31	59.5	2.8	True
baton danusia kawowy	baton danusia kawowy	wawel	wawel	100 g	słodycze i przekąski	wafle, batony	508	25.3	60.3	4	True
baton danusia miętowa	baton danusia miętowa	wawel	wawel	100 g	słodycze i przekąski	wafle, batony	448	18.3	66.7	2.5	True
baton delice fit czekoladowo orzechowy	baton delice fit czekoladowo orzechowy	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	7.3	67.8	6.4	True
baton delice fit czekoladowy	baton delice fit czekoladowy	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	7.2	67.5	6.4	True
baton duplo wafeleki z nadzieniem orzechowym w czekoladzie	baton wafeleki z nadzieniem orzechowym w czekoladzie	ferrero	duplo	100 g	słodycze i przekąski	wafle, batony	555	33.5	56	6.1	True
baton emco musli z malinami i czarnymi jagodami	baton musli z malinami i czarnymi jagodami	emco		100 g	słodycze i przekąski	wafle, batony	381	7.7	69	6	True
baton energetyczny banan&chia	baton energetyczny banan&chia	borjol		100 g	słodycze i przekąski	wafle, batony	410	19.4	18	12	True
baton energetyczny baobab&mango	baton energetyczny baobab&mango	borjol		100 g	słodycze i przekąski	wafle, batony	338	9	52	5.8	True
baton energetyczny kakao&maca	baton energetyczny kakao&maca	borjol		100 g	słodycze i przekąski	wafle, batony	384	19.8	56	10.2	True
baton energetyczny kokos&lucuma	baton energetyczny kokos&lucuma	borjol		100 g	słodycze i przekąski	wafle, batony	388	22.6	58.2	8	True
baton energetyczny superberry	baton energetyczny superberry	borjol		100 g	słodycze i przekąski	wafle, batony	364	10.6	64.2	7.8	True
baton energetyczny supergreens	baton energetyczny supergreens	borjol		100 g	słodycze i przekąski	wafle, batony	392	14.2	46.2	7.8	True
baton energetyczny wanilinowy -squeezy	baton energetyczny wanilinowy -squeezy	squeezy		100 g	słodycze i przekąski	wafle, batony	398	11	44	30	True
baton energy	baton energy	atlanta		100 g	słodycze i przekąski	wafle, batony	354	6.2	66	5.3	True
baton fitness delice z biała czekoladą	baton fitness delice z biała czekoladą	pacific	nestlé	100 g	słodycze i przekąski	wafle, batony	0	7.2	67.5	6.3	True
baton fitness tiramisu	baton fitness tiramisu	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	6.6	65.9	6	True
baton fitness z brzoskwiniami i morelami	baton fitness z brzoskwiniami i morelami	pacific	nestlé	100 g	słodycze i przekąski	wafle, batony	0	11.2	64.2	6.5	True
baton fitness z czekoladą	baton fitness z czekoladą	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	7.4	67.6	6.2	True
baton fitness z orzechami	baton fitness z orzechami	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	7	66.5	5.4	True
baton fitness z truskawkami	baton fitness z truskawkami	nestle	nestlé	100 g	artykuły śniadaniowe	płatki i musli	0	7.3	67	5.9	True
baton fitness z żurawiną i truskawkami	baton fitness z żurawiną i truskawkami	pacific	nestlé	100 g	słodycze i przekąski	wafle, batony	0	11.3	64.6	6.2	True
baton fruit oshee-morela	baton fruit oshee-morela	oshee	oshee	100 g	słodycze i przekąski	wafle, batony	369	8.8	62.8	5.5	True
baton fruit oshee-żurawina	baton fruit oshee-żurawina	oshee	oshee	100 g	słodycze i przekąski	wafle, batony	384	9.1	66.4	5.5	True
baton frupp ananas z bakaliami	baton frupp ananas z bakaliami	celiko		100 g	słodycze i przekąski	wafle, batony	441	16	65	7	True
baton frupp liofilizowany malinowy	baton frupp liofilizowany malinowy	celiko	celiko	100 g	słodycze i przekąski	wafle, batony	367	0.9	79	3.8	True
baton frupp liofilizowany truskawkowy	baton frupp liofilizowany truskawkowy	celiko	celiko	100 g	słodycze i przekąski	wafle, batony	373	0.5	85	2.9	True
baton frupp wiśnia, ostra papryka, kakao	baton frupp wiśnia, ostra papryka, kakao	celiko		100 g	słodycze i przekąski	wafle, batony	378	1.7	83	2.9	True
baton frupp wiśniowy liofilizowany	baton frupp wiśniowy liofilizowany	celiko	celiko	100 g	słodycze i przekąski	wafle, batony	354	0	83	2.7	True
baton go on kakaowy!	baton go on kakaowy!	sante	sante	100 g	słodycze i przekąski	wafle, batony	433	18	44	20	True
baton go on orzechowy!	baton go on orzechowy!	sante	sante	100 g	słodycze i przekąski	wafle, batony	446	20	43	20	True
baton go on waniliowy!	baton go on waniliowy!	sante	sante	100 g	słodycze i przekąski	wafle, batony	436	18	45	20	True
